楼盘名称,总价,平米数,单价
西便门内大街97号院,591万,57.51平米,"102,765元/平"
复兴门外大街,730万,51.7平米,"141,200元/平"
格调小区,840万,80.7平米,"104,090元/平"
格调小区,600万,56.33平米,"106,516元/平"
玉桃园三区,640万,43.1平米,"148,492元/平"
远见国际公寓,477万,47.71平米,"99,980元/平"
荣丰2008,405万,25.52平米,"158,700元/平"
红莲中里,610万,58.61平米,"104,078元/平"
展览路,679万,53.2平米,"127,632元/平"
后桃园胡同9号院,769万,57.1平米,"134,677元/平"
槐柏树街南里,637万,58.02平米,"109,790元/平"
红莲南里,489万,42.86平米,"114,093元/平"
月坛北街,619万,38.5平米,"160,780元/平"
天宁寺东里,452万,43.98平米,"102,774元/平"
广华轩,1050万,108.75平米,"96,552元/平"
车站东街甲9号院,568万,54.64平米,"103,954元/平"
馨莲茗园,720万,73.77平米,"97,601元/平"
南菜园街1号院,610万,57.14平米,"106,756元/平"
格调小区,759万,73平米,"103,973元/平"
月坛北街25号院,625万,40.2平米,"155,473元/平"
似海怡家,820万,80.48平米,"101,889元/平"
团结大院,688万,59.2平米,"116,217元/平"
团结大院,610万,42.2平米,"144,550元/平"
